,T,i
0,0.0005,-0.00770824
1,0.001,-0.00584115
2,0.0015,-0.00526924
3,0.002,-0.004943
4,0.0025,-0.00471992
5,0.003,-0.00455329
6,0.0035,-0.00442175
7,0.004,-0.00431464
8,0.0045,-0.00422278
9,0.005,-0.00414435
10,0.0055,-0.00407843
11,0.006,-0.00402014
12,0.0065,-0.00397039
13,0.007,-0.00392492
14,0.0075,-0.00388525
15,0.008,-0.00385137
16,0.0085,-0.00382635
17,0.009,-0.00380315
18,0.0095,-0.00378637
19,0.01,-0.00377203
20,0.0105,-0.00376592
21,0.011,-0.00376134
22,0.0115,-0.00376379
23,0.012,-0.00376897
24,0.0125,-0.00377996
25,0.013,-0.00379278
26,0.0135,-0.0038117
27,0.014,-0.00383245
28,0.0145,-0.00385931
29,0.015,-0.00388464
30,0.0155,-0.00391424
31,0.016,-0.00394934
32,0.0165,-0.00398504
33,0.017,-0.00402166
34,0.0175,-0.0040592
35,0.018,-0.00410101
36,0.0185,-0.00413916
37,0.019,-0.00418036
38,0.0195,-0.00422156
39,0.02,-0.00425879
40,0.0205,-0.00430029
41,0.021,-0.00433844
42,0.0215,-0.00437506
43,0.022,-0.00441138
44,0.0225,-0.00444861
45,0.023,-0.0044831
46,0.0235,-0.00451575
47,0.024,-0.0045484
48,0.0245,-0.00457709
49,0.025,-0.00460669
50,0.0255,-0.00463447
51,0.026,-0.00465857
52,0.0265,-0.00468421
53,0.027,-0.00470496
54,0.0275,-0.00472724
55,0.028,-0.00474647
56,0.0285,-0.00476539
57,0.029,-0.00478095
58,0.0295,-0.00479652
59,0.03,-0.00481116
60,0.0305,-0.00482459
61,0.031,-0.00483558
62,0.0315,-0.00484534
63,0.032,-0.00485633
64,0.0325,-0.00486518
65,0.033,-0.00487159
66,0.0335,-0.00487739
67,0.034,-0.00488349
68,0.0345,-0.00488807
69,0.035,-0.00489295
70,0.0355,-0.0048957
71,0.036,-0.00489814
72,0.0365,-0.00489936
73,0.037,-0.00490058
74,0.0375,-0.00490058
75,0.038,-0.0049015
76,0.0385,-0.00490058
77,0.039,-0.00489906
78,0.0395,-0.00489875
79,0.04,-0.00489662
80,0.0405,-0.00489417
81,0.041,-0.00489082
82,0.0415,-0.00488899
83,0.042,-0.00488441
84,0.0425,-0.00488105
85,0.043,-0.00487769
86,0.0435,-0.00487342
87,0.044,-0.00486671
88,0.0445,-0.00486579
89,0.045,-0.00485877
90,0.0455,-0.00485175
91,0.046,-0.00484779
92,0.0465,-0.0048426
93,0.047,-0.00483802
94,0.0475,-0.0048307
95,0.048,-0.0048249
96,0.0485,-0.00481879
97,0.049,-0.00481269
98,0.0495,-0.00480537
99,0.05,-0.00480048
100,0.0505,-0.00479072
101,0.051,-0.00478644
102,0.0515,-0.00477851
103,0.052,-0.00477271
104,0.0525,-0.00476569
105,0.053,-0.00475745
106,0.0535,-0.00475257
107,0.054,-0.00474341
108,0.0545,-0.00473701
109,0.055,-0.00472999
110,0.0555,-0.00472236
111,0.056,-0.00471503
112,0.0565,-0.0047071
113,0.057,-0.00470038
114,0.0575,-0.00469275
115,0.058,-0.00468665
116,0.0585,-0.00467872
117,0.059,-0.00467017
118,0.0595,-0.00466254
119,0.06,-0.00465705
120,0.0605,-0.00464759
121,0.061,-0.00464026
122,0.0615,-0.00463263
123,0.062,-0.0046247
124,0.0625,-0.00461738
125,0.063,-0.00461036
126,0.0635,-0.00460273
127,0.064,-0.00459632
128,0.0645,-0.00458991
129,0.065,-0.00458014
130,0.0655,-0.00457465
131,0.066,-0.0045658
132,0.0665,-0.00456
133,0.067,-0.00455115
134,0.0675,-0.00454291
135,0.068,-0.00453864
136,0.0685,-0.00452948
137,0.069,-0.00452216
138,0.0695,-0.00451422
139,0.07,-0.00450812
140,0.0705,-0.00450141
141,0.071,-0.00449286
142,0.0715,-0.00448523
143,0.072,-0.00447821
144,0.0725,-0.00446936
145,0.073,-0.00446356
146,0.0735,-0.00445746
147,0.074,-0.00444983
148,0.0745,-0.00444373
149,0.075,-0.00443457
150,0.0755,-0.00442786
151,0.076,-0.00442145
152,0.0765,-0.00441657
153,0.077,-0.00440558
154,0.0775,-0.0044007
155,0.078,-0.00439307
156,0.0785,-0.00438727
157,0.079,-0.00438117
158,0.0795,-0.00437323
159,0.08,-0.00436591
160,0.0805,-0.00436011
161,0.081,-0.00435248
162,0.0815,-0.00434485
163,0.082,-0.00433844
164,0.0825,-0.00433142
165,0.083,-0.00432654
166,0.0835,-0.00431952
167,0.084,-0.00431219
168,0.0845,-0.00430701
169,0.085,-0.00430029
170,0.0855,-0.00429419
171,0.086,-0.00428534
172,0.0865,-0.00427862
173,0.087,-0.00427283
174,0.0875,-0.00426825
175,0.088,-0.00426001
176,0.0885,-0.00425452
177,0.089,-0.0042475
178,0.0895,-0.00424139
179,0.09,-0.00423468
180,0.0905,-0.00422888
181,0.091,-0.00422217
182,0.0915,-0.00421637
183,0.092,-0.00420843
184,0.0925,-0.00420447
185,0.093,-0.00419745
186,0.0935,-0.00419104
187,0.094,-0.00418463
188,0.0945,-0.00417975
189,0.095,-0.00417395
190,0.0955,-0.0041654
191,0.096,-0.00416449
192,0.0965,-0.00415472
193,0.097,-0.00414953
194,0.0975,-0.00414343
195,0.098,-0.00413519
196,0.0985,-0.00413214
197,0.099,-0.00412573
198,0.0995,-0.00411993
199,0.1,-0.004112
200,0.1005,-0.00410711
201,0.101,-0.00410345
202,0.1015,-0.00409643
203,0.102,-0.00409002
204,0.1025,-0.00408514
205,0.103,-0.00407782
206,0.1035,-0.00407385
207,0.104,-0.00406713
208,0.1045,-0.00406164
209,0.105,-0.00405676
210,0.1055,-0.00405035
211,0.106,-0.00404425
212,0.1065,-0.00403997
213,0.107,-0.00403448
214,0.1075,-0.00402807
215,0.108,-0.0040238
216,0.1085,-0.00401861
217,0.109,-0.00401373
218,0.1095,-0.00400793
