,T,i
0,0.0005,-0.00999984
1,0.001,-0.00803051
2,0.0015,-0.00741527
3,0.002,-0.0070634
4,0.0025,-0.00681467
5,0.003,-0.00662394
6,0.0035,-0.00646799
7,0.004,-0.00633218
8,0.0045,-0.00621774
9,0.005,-0.00611581
10,0.0055,-0.00602121
11,0.006,-0.00594033
12,0.0065,-0.00586373
13,0.007,-0.00579232
14,0.0075,-0.00572671
15,0.008,-0.0056675
16,0.0085,-0.00560921
17,0.009,-0.00555703
18,0.0095,-0.00550911
19,0.01,-0.00546181
20,0.0105,-0.00541573
21,0.011,-0.0053785
22,0.0115,-0.00533974
23,0.012,-0.00530189
24,0.0125,-0.00526924
25,0.013,-0.0052372
26,0.0135,-0.0052082
27,0.014,-0.00518104
28,0.0145,-0.00515449
29,0.015,-0.00512977
30,0.0155,-0.0051078
31,0.016,-0.00508735
32,0.0165,-0.00506752
33,0.017,-0.00505012
34,0.0175,-0.00503334
35,0.018,-0.00502143
36,0.0185,-0.00500801
37,0.019,-0.00499427
38,0.0195,-0.00498481
39,0.02,-0.00497596
40,0.0205,-0.00496803
41,0.021,-0.00496162
42,0.0215,-0.0049546
43,0.022,-0.00495124
44,0.0225,-0.00494819
45,0.023,-0.00494544
46,0.0235,-0.00494453
47,0.024,-0.00494453
48,0.0245,-0.00494331
49,0.025,-0.00494789
50,0.0255,-0.00494819
51,0.026,-0.00495155
52,0.0265,-0.00495674
53,0.027,-0.00496131
54,0.0275,-0.00496498
55,0.028,-0.0049723
56,0.0285,-0.00498054
57,0.029,-0.00499092
58,0.0295,-0.00499641
59,0.03,-0.00500556
60,0.0305,-0.00501686
61,0.031,-0.00502571
62,0.0315,-0.00503456
63,0.032,-0.00504646
64,0.0325,-0.00505928
65,0.033,-0.00507026
66,0.0335,-0.00508369
67,0.034,-0.00509498
68,0.0345,-0.0051078
69,0.035,-0.0051197
70,0.0355,-0.00513496
71,0.036,-0.00514961
72,0.0365,-0.00515907
73,0.037,-0.00517402
74,0.0375,-0.00518715
75,0.038,-0.00520302
76,0.0385,-0.00521492
77,0.039,-0.00523018
78,0.0395,-0.00524422
79,0.04,-0.005261
80,0.0405,-0.00527412
81,0.041,-0.00528633
82,0.0415,-0.00530281
83,0.042,-0.00531685
84,0.0425,-0.00533089
85,0.043,-0.00534584
86,0.0435,-0.00535805
87,0.044,-0.00537056
88,0.0445,-0.00538399
89,0.045,-0.00539803
90,0.0455,-0.00541023
91,0.046,-0.00542549
92,0.0465,-0.0054377
93,0.047,-0.0054496
94,0.0475,-0.00546425
95,0.048,-0.00547554
96,0.0485,-0.00548714
97,0.049,-0.00550118
98,0.0495,-0.00551186
99,0.05,-0.0055204
100,0.0505,-0.00553322
101,0.051,-0.00554604
102,0.0515,-0.00555489
103,0.052,-0.00556588
104,0.0525,-0.00557778
105,0.053,-0.00558632
106,0.0535,-0.00559639
107,0.054,-0.00560433
108,0.0545,-0.00561593
109,0.055,-0.00562325
110,0.0555,-0.00563057
111,0.056,-0.00563881
112,0.0565,-0.00564827
113,0.057,-0.00565804
114,0.0575,-0.00566445
115,0.058,-0.00567086
116,0.0585,-0.00567788
117,0.059,-0.00568551
118,0.0595,-0.00569161
119,0.06,-0.00569832
120,0.0605,-0.00570626
121,0.061,-0.0057084
122,0.0615,-0.00571786
123,0.062,-0.00572182
124,0.0625,-0.00572671
125,0.063,-0.0057322
126,0.0635,-0.00573678
127,0.064,-0.00574013
128,0.0645,-0.00574532
129,0.065,-0.00574837
130,0.0655,-0.00575478
131,0.066,-0.005756
132,0.0665,-0.00575967
133,0.067,-0.00576119
134,0.0675,-0.00576455
135,0.068,-0.00576791
136,0.0685,-0.00577309
137,0.069,-0.00577401
138,0.0695,-0.00577462
139,0.07,-0.00577706
140,0.0705,-0.00577828
141,0.071,-0.0057795
142,0.0715,-0.00578194
143,0.072,-0.00578255
144,0.0725,-0.00578255
145,0.073,-0.00578286
146,0.0735,-0.00578469
147,0.074,-0.0057853
148,0.0745,-0.00578561
149,0.075,-0.00578683
150,0.0755,-0.00578683
151,0.076,-0.00578683
152,0.0765,-0.00578377
153,0.077,-0.00578377
154,0.0775,-0.00578561
155,0.078,-0.00578225
156,0.0785,-0.00578286
157,0.079,-0.00578164
158,0.0795,-0.00577981
159,0.08,-0.00577798
160,0.0805,-0.00577706
161,0.081,-0.00577553
162,0.0815,-0.00577309
163,0.082,-0.00577401
164,0.0825,-0.00576852
165,0.083,-0.00576729
166,0.0835,-0.00576577
167,0.084,-0.00576394
168,0.0845,-0.00576119
169,0.085,-0.00575844
170,0.0855,-0.0057557
171,0.086,-0.00575326
172,0.0865,-0.00575204
173,0.087,-0.00574868
174,0.0875,-0.00574502
175,0.088,-0.0057438
176,0.0885,-0.00574044
177,0.089,-0.00573647
178,0.0895,-0.00573281
179,0.09,-0.00573067
180,0.0905,-0.00572732
181,0.091,-0.00572457
182,0.0915,-0.00571969
183,0.092,-0.00571602
184,0.0925,-0.00571358
185,0.093,-0.00571114
186,0.0935,-0.00570626
187,0.094,-0.00570199
188,0.0945,-0.00569741
189,0.095,-0.00569405
190,0.0955,-0.00568795
191,0.096,-0.00568581
192,0.0965,-0.00568001
193,0.097,-0.00567605
194,0.0975,-0.00567208
195,0.098,-0.00566811
196,0.0985,-0.00566445
197,0.099,-0.00565865
198,0.0995,-0.00565499
199,0.1,-0.00565102
200,0.1005,-0.00564614
201,0.101,-0.00564156
202,0.1015,-0.0056379
203,0.102,-0.00563179
204,0.1025,-0.00562661
205,0.103,-0.00562264
206,0.1035,-0.00561928
207,0.104,-0.00561013
208,0.1045,-0.00560891
209,0.105,-0.00560372
210,0.1055,-0.00559914
211,0.106,-0.00559395
212,0.1065,-0.00558907
213,0.107,-0.00558236
214,0.1075,-0.005579
215,0.108,-0.0055732
216,0.1085,-0.00557015
217,0.109,-0.00556252
218,0.1095,-0.00555977
219,0.11,-0.00555489
220,0.1105,-0.00554818
221,0.111,-0.0055439
222,0.1115,-0.00553871
223,0.112,-0.0055317
224,0.1125,-0.00552773
225,0.113,-0.00552193
226,0.1135,-0.00551674
227,0.114,-0.00551094
228,0.1145,-0.00550576
229,0.115,-0.00550392
230,0.1155,-0.00549721
231,0.116,-0.00549141
232,0.1165,-0.00548622
233,0.117,-0.00547981
234,0.1175,-0.00547615
235,0.118,-0.00546913
236,0.1185,-0.00546425
237,0.119,-0.00545845
238,0.1195,-0.00545326
239,0.12,-0.0054496
240,0.1205,-0.00544258
241,0.121,-0.00543648
242,0.1215,-0.0054316
243,0.122,-0.00542671
244,0.1225,-0.00542122
245,0.123,-0.00541451
246,0.1235,-0.00541084
247,0.124,-0.00540688
248,0.1245,-0.00539925
249,0.125,-0.00539406
250,0.1255,-0.00538643
251,0.126,-0.00538399
252,0.1265,-0.00537819
253,0.127,-0.00537056
254,0.1275,-0.00536537
255,0.128,-0.00536079
256,0.1285,-0.00535561
257,0.129,-0.00535255
258,0.1295,-0.00534615
259,0.13,-0.00534004
260,0.1305,-0.00533516
261,0.131,-0.00532875
262,0.1315,-0.00532356
263,0.132,-0.00531685
264,0.1325,-0.00531227
265,0.133,-0.00530739
266,0.1335,-0.0053022
267,0.134,-0.00529579
268,0.1345,-0.0052906
269,0.135,-0.00528603
270,0.1355,-0.00527779
271,0.136,-0.00527443
272,0.1365,-0.00526985
273,0.137,-0.00526283
